1,education,التعليم,Education,التعليم,خوێندن,icon-mortarboard
2,experience,الخبرة,Experience,الخبرة,شارەزایی,icon-suitcase
3,achievement,إنجازات,Achievement,إنجازات,دەسکەوت,icon-cup
4,special_expertise,اختصاص,Special Expertise,اختصاص,پسپۆڕی تایبەت,icon-light-bulb
5,member_of_foundation,Member of Foundation,Member of Foundation,العضوية,ئەندامێتی,icon-avatar
