1,Slemani,Slemani,السليمانية,سلێمانی,1,3
2,Erbil,Erbil,أربيل,هەولێر,2,3
3,Duhok,Duhok,دهوك,دهۆك,3,3
4,Kirkuk,Kirkuk,كركوك,كەركوك,4,3
