1,Saturday to Wednesday,Saturday to Wednesday,من السبت حتى الأربعاء,شەممە هەتا چوارچەممە,2024-03-06 11:00:00+00,2024-03-06 16:30:00+00,3
2,Thursdays,Thursdays,الخميس,پێنجشەممە,2024-03-06 11:00:00+00,2024-03-06 14:00:00+00,3
